,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
239,203496.0,1.22,3.62,4.84,1.0,67.0,2.0,104.39,Robert Covington,2018,2018
106,201939.0,5.58,-0.8,4.78,2.0,1.0,440.0,104.39,Stephen Curry,2018,2018
296,203954.0,2.13,2.39,4.53,3.0,19.0,8.0,104.39,Joel Embiid,2018,2018
172,202710.0,1.98,2.51,4.49,4.0,24.0,6.0,104.39,Jimmy Butler,2018,2018
189,203081.0,3.11,1.38,4.48,5.0,10.0,42.0,104.39,Damian Lillard,2018,2018
541,201569201935.0,3.78,0.6,4.38,6.0,4.0,140.0,104.39,Eric Gordon,2018,2018
540,201569201935.0,3.78,0.6,4.38,6.0,4.0,140.0,104.39,James Harden,2018,2018
54,200782.0,3.26,0.62,3.88,7.0,9.0,137.0,104.39,P.J. Tucker,2018,2018
237,203490.0,2.8,1.03,3.84,8.0,13.0,77.0,104.39,Otto Porter Jr.,2018,2018
36,101108.0,3.92,-0.11,3.81,9.0,3.0,300.0,104.39,Chris Paul,2018,2018
404,1627759.0,1.37,2.33,3.69,10.0,56.0,10.0,104.39,Jaylen Brown,2018,2018
104,201936.0,2.01,1.45,3.46,11.0,23.0,40.0,104.39,Tyreke Evans,2018,2018
334,1626157.0,3.56,-0.15,3.41,12.0,5.0,314.0,104.39,Karl-Anthony Towns,2018,2018
248,203506.0,1.45,1.93,3.38,13.0,49.0,15.0,104.39,Victor Oladipo,2018,2018
158,202689.0,2.99,0.26,3.24,15.0,12.0,194.0,104.39,Kemba Walker,2018,2018
307,203999.0,2.78,0.46,3.24,14.0,14.0,161.0,104.39,Nikola Jokic,2018,2018
107,201942.0,3.27,-0.04,3.23,16.0,8.0,282.0,104.39,DeMar DeRozan,2018,2018
185,203076.0,1.63,1.55,3.18,17.0,37.0,37.0,104.39,Anthony Davis,2018,2018
324,1626145.0,1.72,1.45,3.17,20.0,32.0,39.0,104.39,Tyus Jones,2018,2018
469,1628378.0,1.13,2.03,3.17,21.0,72.0,13.0,104.39,Donovan Mitchell,2018,2018
132,202329.0,2.06,1.11,3.17,19.0,20.0,64.0,104.39,Al-Farouq Aminu,2018,2018
220,203460.0,-1.03,4.2,3.17,18.0,460.0,1.0,104.39,Andre Roberson,2018,2018
48,200746.0,1.72,1.31,3.03,22.0,34.0,46.0,104.39,LaMarcus Aldridge,2018,2018
79,201566.0,2.28,0.67,2.96,23.0,17.0,126.0,104.39,Russell Westbrook,2018,2018
11,2403.0,1.15,1.79,2.94,24.0,71.0,21.0,104.39,Nene,2018,2018
436,1627832.0,1.28,1.59,2.87,25.0,62.0,33.0,104.39,Fred VanVleet,2018,2018
367,1626220.0,0.53,2.24,2.78,26.0,142.0,11.0,104.39,Royce O'Neale,2018,2018
58,201143.0,1.47,1.21,2.68,27.0,46.0,56.0,104.39,Al Horford,2018,2018
230,203482.0,2.75,-0.08,2.67,28.0,15.0,285.0,104.39,Kelly Olynyk,2018,2018
425,1627812.0,-0.39,3.05,2.66,29.0,356.0,4.0,104.39,Yogi Ferrell,2018,2018
53,200768.0,1.51,1.11,2.62,30.0,45.0,63.0,104.39,Kyle Lowry,2018,2018
19,2594.0,1.77,0.74,2.51,31.0,30.0,116.0,104.39,Kyle Korver,2018,2018
483,1628395.0,1.91,0.59,2.5,32.0,25.0,141.0,104.39,Jordan Bell,2018,2018
249,203507.0,0.86,1.63,2.49,33.0,97.0,31.0,104.39,Giannis Antetokounmpo,2018,2018
110,201950.0,0.67,1.81,2.48,34.0,119.0,19.0,104.39,Jrue Holiday,2018,2018
187,203078.0,1.4,1.05,2.45,35.0,53.0,74.0,104.39,Bradley Beal,2018,2018
273,203914.0,1.26,1.17,2.43,36.0,64.0,59.0,104.39,Gary Harris,2018,2018
243,203500.0,1.37,1.03,2.4,37.0,55.0,76.0,104.39,Steven Adams,2018,2018
308,204001.0,0.49,1.84,2.34,38.0,149.0,18.0,104.39,Kristaps Porzingis,2018,2018
99,201601.0,0.54,1.77,2.32,39.0,139.0,22.0,104.39,Luc Mbah a Moute,2018,2018
159,202691.0,1.41,0.84,2.25,40.0,51.0,102.0,104.39,Klay Thompson,2018,2018
453,1627885.0,1.16,1.03,2.19,42.0,70.0,78.0,104.39,Shaquille Harrison,2018,2018
12,2544.0,4.23,-2.04,2.19,41.0,2.0,525.0,104.39,LeBron James,2018,2018
92,201586.0,1.58,0.59,2.16,43.0,39.0,142.0,104.39,Serge Ibaka,2018,2018
286,203935.0,0.44,1.7,2.13,44.0,156.0,27.0,104.39,Marcus Smart,2018,2018
419,1627783.0,1.72,0.39,2.11,45.0,33.0,172.0,104.39,Pascal Siakam,2018,2018
64,201152.0,1.03,1.07,2.1,46.0,82.0,71.0,104.39,Thaddeus Young,2018,2018
240,203497.0,-0.31,2.38,2.08,47.0,335.0,9.0,104.39,Rudy Gobert,2018,2018
136,202334.0,0.5,1.57,2.07,48.0,148.0,34.0,104.39,Ed Davis,2018,2018
196,203089.0,1.13,0.9,2.03,49.0,74.0,94.0,104.39,John Henson,2018,2018
475,1628384.0,0.77,1.23,2.0,50.0,106.0,54.0,104.39,OG Anunoby,2018,2018
40,101127.0,1.65,0.35,1.99,51.0,36.0,176.0,104.39,Jarrett Jack,2018,2018
244,203501.0,1.25,0.71,1.96,53.0,66.0,122.0,104.39,Tim Hardaway Jr.,2018,2018
87,201578.0,1.07,0.89,1.96,52.0,78.0,96.0,104.39,Marreese Speights,2018,2018
300,203962.0,0.71,1.24,1.96,54.0,113.0,51.0,104.39,Josh Huestis,2018,2018
448,1627863.0,0.67,1.28,1.96,55.0,118.0,48.0,104.39,Danuel House Jr.,2018,2018
255,203526.0,0.25,1.66,1.91,56.0,190.0,29.0,104.39,Raul Neto,2018,2018
357,1626192.0,1.04,0.82,1.85,57.0,81.0,104.0,104.39,Pat Connaughton,2018,2018
372,1626257.0,0.77,1.07,1.84,59.0,105.0,70.0,104.39,Salah Mejri,2018,2018
214,203200.0,0.92,0.93,1.84,58.0,92.0,92.0,104.39,Justin Holiday,2018,2018
303,203991.0,0.92,0.9,1.82,60.0,91.0,95.0,104.39,Clint Capela,2018,2018
195,203087.0,1.66,0.1,1.76,61.0,35.0,233.0,104.39,Jeremy Lamb,2018,2018
43,101141.0,0.7,1.06,1.75,62.0,116.0,73.0,104.39,Ersan Ilyasova,2018,2018
346,1626171.0,2.2,-0.45,1.75,63.0,18.0,376.0,104.39,Bobby Portis,2018,2018
139,202339.0,1.77,-0.07,1.7,65.0,29.0,284.0,104.39,Eric Bledsoe,2018,2018
216,203382.0,-1.42,3.12,1.7,64.0,496.0,3.0,104.39,Aron Baynes,2018,2018
224,203469.0,0.59,1.09,1.67,66.0,130.0,67.0,104.39,Cody Zeller,2018,2018
38,101112.0,1.82,-0.17,1.66,67.0,27.0,317.0,104.39,Channing Frye,2018,2018
168,202703.0,1.79,-0.15,1.64,68.0,28.0,312.0,104.39,Nikola Mirotic,2018,2018
184,202933.0,0.66,0.95,1.61,69.0,121.0,88.0,104.39,Julyan Stone,2018,2018
463,1628369.0,0.39,1.22,1.61,70.0,165.0,55.0,104.39,Jayson Tatum,2018,2018
371,1626246.0,1.29,0.31,1.6,71.0,60.0,187.0,104.39,Boban Marjanovic,2018,2018
1,1717.0,1.57,0.03,1.59,73.0,40.0,264.0,104.39,Dirk Nowitzki,2018,2018
80,201567.0,2.02,-0.43,1.59,72.0,22.0,374.0,104.39,Kevin Love,2018,2018
23,2733.0,0.61,0.97,1.57,74.0,127.0,87.0,104.39,Shaun Livingston,2018,2018
287,203937.0,0.56,0.99,1.55,75.0,137.0,82.0,104.39,Kyle Anderson,2018,2018
429,1627819.0,0.54,0.98,1.51,76.0,141.0,86.0,104.39,Isaiah Taylor,2018,2018
96,201596.0,-0.28,1.77,1.49,77.0,332.0,23.0,104.39,Mario Chalmers,2018,2018
397,1627750.0,3.49,-2.01,1.48,78.0,6.0,524.0,104.39,Jamal Murray,2018,2018
470,1628379.0,0.8,0.67,1.46,79.0,101.0,128.0,104.39,Luke Kennard,2018,2018
18,2585.0,1.83,-0.37,1.46,80.0,26.0,356.0,104.39,Zaza Pachulia,2018,2018
145,202357.0,0.3,1.14,1.45,81.0,180.0,60.0,104.39,Nemanja Bjelica,2018,2018
379,1627732.0,1.0,0.44,1.44,82.0,84.0,166.0,104.39,Ben Simmons,2018,2018
202,203107.0,0.72,0.72,1.44,83.0,111.0,120.0,104.39,Tomas Satoransky,2018,2018
228,203477.0,1.13,0.3,1.43,84.0,73.0,188.0,104.39,Isaiah Canaan,2018,2018
102,201933.0,1.18,0.23,1.41,85.0,68.0,201.0,104.39,Blake Griffin,2018,2018
47,101181.0,1.26,0.15,1.41,86.0,65.0,218.0,104.39,Jose Calderon,2018,2018
314,204038.0,-1.1,2.5,1.4,87.0,469.0,7.0,104.39,Langston Galloway,2018,2018
82,201569.0,1.33,0.05,1.38,88.0,59.0,252.0,104.39,Eric Gordon,2018,2018
169,202704.0,0.87,0.48,1.35,90.0,96.0,159.0,104.39,Reggie Jackson,2018,2018
51,200757.0,0.33,1.02,1.35,89.0,177.0,79.0,104.39,Thabo Sefolosha,2018,2018
396,1627749.0,-1.71,3.05,1.34,91.0,511.0,5.0,104.39,Dejounte Murray,2018,2018
68,201162.0,0.82,0.5,1.32,92.0,98.0,154.0,104.39,Jared Dudley,2018,2018
26,2738.0,-0.77,2.07,1.3,93.0,424.0,12.0,104.39,Andre Iguodala,2018,2018
498,1628412.0,0.57,0.71,1.28,94.0,133.0,121.0,104.39,Frank Mason,2018,2018
359,1626196.0,-0.07,1.35,1.27,95.0,270.0,44.0,104.39,Josh Richardson,2018,2018
516,1628455.0,0.47,0.79,1.26,96.0,152.0,106.0,104.39,Mike James,2018,2018
347,1626172.0,0.97,0.3,1.26,97.0,89.0,190.0,104.39,Kevon Looney,2018,2018
121,201980.0,0.14,1.08,1.22,98.0,210.0,69.0,104.39,Danny Green,2018,2018
398,1627751.0,1.01,0.2,1.21,99.0,83.0,207.0,104.39,Jakob Poeltl,2018,2018
315,204060.0,0.8,0.4,1.2,100.0,102.0,169.0,104.39,Joe Ingles,2018,2018
112,201954.0,2.03,-0.87,1.17,101.0,21.0,452.0,104.39,Darren Collison,2018,2018
41,101133.0,0.19,0.93,1.12,102.0,199.0,91.0,104.39,Ian Mahinmi,2018,2018
2,1891.0,0.72,0.39,1.12,103.0,109.0,171.0,104.39,Jason Terry,2018,2018
460,1628366.0,-0.75,1.86,1.11,104.0,422.0,17.0,104.39,Lonzo Ball,2018,2018
115,201960.0,0.27,0.8,1.08,105.0,187.0,105.0,104.39,DeMarre Carroll,2018,2018
274,203915.0,1.42,-0.35,1.07,107.0,50.0,348.0,104.39,Spencer Dinwiddie,2018,2018
105,201937.0,-0.28,1.35,1.07,106.0,329.0,43.0,104.39,Ricky Rubio,2018,2018
13,2546.0,1.4,-0.37,1.03,109.0,52.0,357.0,104.39,Carmelo Anthony,2018,2018
330,1626153.0,0.72,0.31,1.03,108.0,108.0,186.0,104.39,Delon Wright,2018,2018
55,200794.0,0.34,0.69,1.03,110.0,172.0,125.0,104.39,Paul Millsap,2018,2018
130,202327.0,-0.07,1.09,1.02,113.0,268.0,68.0,104.39,Ekpe Udoh,2018,2018
164,202696.0,0.58,0.44,1.02,112.0,132.0,165.0,104.39,Nikola Vucevic,2018,2018
32,2772.0,0.61,0.41,1.02,111.0,126.0,168.0,104.39,Trevor Ariza,2018,2018
62,201148.0,-0.38,1.39,1.01,115.0,349.0,41.0,104.39,Brandan Wright,2018,2018
204,203110.0,0.51,0.5,1.01,114.0,145.0,153.0,104.39,Draymond Green,2018,2018
313,204037.0,0.53,0.46,0.98,117.0,143.0,162.0,104.39,Travis Wear,2018,2018
250,203512.0,-0.01,1.0,0.98,116.0,247.0,81.0,104.39,Lucas Nogueira,2018,2018
232,203485.0,-0.18,1.14,0.96,119.0,298.0,62.0,104.39,Lorenzo Brown,2018,2018
199,203095.0,1.46,-0.5,0.96,118.0,47.0,388.0,104.39,Evan Fournier,2018,2018
350,1626177.0,-0.51,1.45,0.95,122.0,372.0,38.0,104.39,Dakari Johnson,2018,2018
495,1628409.0,0.88,0.07,0.95,120.0,94.0,243.0,104.39,Alec Peters,2018,2018
150,202397.0,0.77,0.18,0.95,121.0,104.0,214.0,104.39,Ish Smith,2018,2018
56,200826.0,1.77,-0.83,0.94,123.0,31.0,448.0,104.39,J.J. Barea,2018,2018
288,203939.0,0.15,0.79,0.94,124.0,206.0,107.0,104.39,Dwight Powell,2018,2018
33,2863.0,0.71,0.22,0.93,125.0,115.0,203.0,104.39,Damien Wilkins,2018,2018
278,203922.0,0.14,0.76,0.9,126.0,208.0,113.0,104.39,Glenn Robinson III,2018,2018
24,2734.0,1.0,-0.1,0.9,127.0,85.0,298.0,104.39,Devin Harris,2018,2018
57,201142.0,3.09,-2.21,0.88,128.0,11.0,529.0,104.39,Kevin Durant,2018,2018
363,1626204.0,-0.93,1.81,0.87,129.0,450.0,20.0,104.39,Larry Nance Jr.,2018,2018
114,201959.0,1.0,-0.12,0.87,130.0,86.0,304.0,104.39,Taj Gibson,2018,2018
388,1627741.0,0.23,0.63,0.86,131.0,192.0,135.0,104.39,Buddy Hield,2018,2018
219,203459.0,0.81,0.04,0.85,132.0,99.0,254.0,104.39,Allen Crabbe,2018,2018
459,1628365.0,-0.48,1.33,0.85,133.0,368.0,45.0,104.39,Markelle Fultz,2018,2018
170,202705.0,1.36,-0.51,0.84,135.0,57.0,390.0,104.39,MarShon Brooks,2018,2018
489,1628401.0,-0.45,1.29,0.84,134.0,360.0,47.0,104.39,Derrick White,2018,2018
434,1627826.0,-1.06,1.89,0.83,136.0,463.0,16.0,104.39,Ivica Zubac,2018,2018
77,201563.0,1.29,-0.47,0.82,137.0,61.0,381.0,104.39,Michael Beasley,2018,2018
165,202697.0,-0.03,0.84,0.81,139.0,256.0,101.0,104.39,Iman Shumpert,2018,2018
44,101150.0,3.38,-2.58,0.81,138.0,7.0,537.0,104.39,Lou Williams,2018,2018
521,1628469.0,0.87,-0.09,0.78,141.0,95.0,292.0,104.39,Antonio Blakeney,2018,2018
242,203499.0,-0.89,1.68,0.78,140.0,446.0,28.0,104.39,Shane Larkin,2018,2018
426,1627814.0,0.05,0.72,0.78,142.0,232.0,118.0,104.39,Damion Lee,2018,2018
302,203967.0,0.48,0.29,0.78,143.0,150.0,191.0,104.39,Dario Saric,2018,2018
226,203473.0,-0.0,0.78,0.78,144.0,240.0,110.0,104.39,Dewayne Dedmon,2018,2018
3,1938.0,1.55,-0.78,0.77,146.0,43.0,434.0,104.39,Manu Ginobili,2018,2018
332,1626155.0,-0.01,0.78,0.77,145.0,246.0,109.0,104.39,Sam Dekker,2018,2018
125,202322.0,1.1,-0.35,0.75,147.0,76.0,349.0,104.39,John Wall,2018,2018
267,203894.0,0.19,0.53,0.72,151.0,200.0,148.0,104.39,Shabazz Napier,2018,2018
368,1626224.0,1.54,-0.81,0.72,149.0,44.0,445.0,104.39,Cedi Osman,2018,2018
198,203092.0,0.15,0.58,0.72,148.0,207.0,144.0,104.39,Tyler Zeller,2018,2018
0,1713.0,-0.06,0.79,0.72,150.0,267.0,108.0,104.39,Vince Carter,2018,2018
320,204179.0,1.09,-0.39,0.69,152.0,77.0,362.0,104.39,Omari Johnson,2018,2018
435,1627827.0,-0.52,1.2,0.68,154.0,374.0,57.0,104.39,Dorian Finney-Smith,2018,2018
298,203960.0,-0.89,1.57,0.68,153.0,444.0,35.0,104.39,JaKarr Sampson,2018,2018
309,204020.0,-0.03,0.67,0.65,156.0,252.0,127.0,104.39,Tyler Johnson,2018,2018
277,203920.0,0.27,0.39,0.65,155.0,188.0,173.0,104.39,Khem Birch,2018,2018
284,203932.0,-0.25,0.87,0.62,157.0,320.0,97.0,104.39,Aaron Gordon,2018,2018
120,201976.0,0.51,0.1,0.61,159.0,146.0,231.0,104.39,Patrick Beverley,2018,2018
269,203898.0,-0.63,1.24,0.61,158.0,405.0,52.0,104.39,Tyler Ennis,2018,2018
523,1628475.0,0.22,0.37,0.6,160.0,194.0,175.0,104.39,Matt Williams Jr.,2018,2018
127,202324.0,0.3,0.28,0.58,161.0,181.0,192.0,104.39,Derrick Favors,2018,2018
103,201935.0,1.39,-0.81,0.58,162.0,54.0,443.0,104.39,James Harden,2018,2018
454,1627936.0,-0.57,1.14,0.57,164.0,386.0,61.0,104.39,Alex Caruso,2018,2018
442,1627852.0,0.13,0.44,0.57,163.0,212.0,164.0,104.39,Nicolas Brussino,2018,2018
100,201609.0,0.38,0.19,0.57,166.0,167.0,209.0,104.39,Goran Dragic,2018,2018
212,203145.0,0.25,0.32,0.57,167.0,191.0,183.0,104.39,Kent Bazemore,2018,2018
297,203957.0,0.09,0.48,0.57,165.0,222.0,158.0,104.39,Dante Exum,2018,2018
415,1627779.0,0.46,0.08,0.54,169.0,153.0,241.0,104.39,Marcus Paige,2018,2018
122,201988.0,1.56,-1.02,0.54,168.0,41.0,469.0,104.39,Patty Mills,2018,2018
518,1628463.0,0.66,-0.15,0.51,171.0,124.0,311.0,104.39,Tyler Cavanaugh,2018,2018
446,1627856.0,0.46,0.05,0.51,173.0,154.0,250.0,104.39,Matt Costello,2018,2018
530,1628502.0,-0.24,0.75,0.51,170.0,317.0,114.0,104.39,Nigel Hayes,2018,2018
231,203484.0,0.76,-0.25,0.51,172.0,107.0,333.0,104.39,Kentavious Caldwell-Pope,2018,2018
358,1626195.0,-0.12,0.62,0.5,174.0,281.0,136.0,104.39,Willy Hernangomez,2018,2018
193,203085.0,1.55,-1.05,0.5,175.0,42.0,476.0,104.39,Austin Rivers,2018,2018
178,202722.0,-0.2,0.69,0.49,176.0,304.0,124.0,104.39,Davis Bertans,2018,2018
76,201281.0,0.21,0.28,0.48,177.0,196.0,193.0,104.39,Andre Ingram,2018,2018
467,1628373.0,-1.51,1.98,0.47,178.0,499.0,14.0,104.39,Frank Ntilikina,2018,2018
291,203944.0,0.88,-0.41,0.47,179.0,93.0,365.0,104.39,Julius Randle,2018,2018
89,201583.0,1.58,-1.12,0.46,181.0,38.0,486.0,104.39,Ryan Anderson,2018,2018
45,101161.0,-1.26,1.71,0.46,180.0,486.0,24.0,104.39,Amir Johnson,2018,2018
443,1627853.0,-0.19,0.64,0.45,183.0,302.0,133.0,104.39,Ryan Arcidiacono,2018,2018
235,203488.0,0.71,-0.27,0.45,182.0,114.0,335.0,104.39,Mike Muscala,2018,2018
49,200752.0,0.3,0.14,0.44,184.0,182.0,222.0,104.39,Rudy Gay,2018,2018
